$^あー……何と言ったかな……そうそう、(.+?)ちゃんだ。$	아―…… 뭐라고 말했을까나…… 그래그래, $1짱이다.
$^その度に(.+?)は小さく身じろぎして、恥ずかしそうに目を逸らした。$	그 때마다 $1은 작은 꼼짝 하고 수줍은 듯 눈을 피한.
$^携帯の画面を確認しながら、恥ずかしがる(.+?)にそう言ってやる。$	핸드폰 화면을 확인하면서 부끄러워하다 $1에 그렇게 말하다.
$^それもそうだけど……ほら、もっと笑って。(.+?)の可愛い顔が台無しだよ？$	그것도 그렇지만……자, 더 웃어 $1의 귀여운 얼굴이 엉망이야?!!
$^そう思って声を掛けると、(.+?)は頬を赤らめつつ、懸命に笑顔を作った。$	그렇게 생각하고 말을 걸자 $1은 볼을 붉히면서 열심히 미소를 만들었다.
$^(.+?)はぎこちないながらも、笑顔でポーズを撮り続けていた。$	$1은 어색하면서도 웃으며 포즈를 계속 찍어 있었다.
$^(.+?)が撮られるのに慣れてきたところで、俺は次の指示を出した。$	$1가 찍는 것에 익숙해진 곳에서 나는 다음 지시를 내렸다.
$^具体的に指示を出すと、(.+?)の顔がどんどん赤くなっていく。$	구체적으로 지시를 내리면 $1의 얼굴이 점점 빨갛게 된다.
$^凄くエッチで可愛いよ、(.+?)……！$	굉장히 야하에서 귀엽다 $1……!
$^ほら、もっとこっち見て、(.+?)！$	이봐요, 더 이쪽 보고 $1!
$^顔を真っ赤にして恥らい、俺から視線を逸らす(.+?)。$	얼굴을 붉히며 치라이, 나로부터 시선을 돌리는 $1.
$^俺はそんな(.+?)のあられもない姿を、携帯のカメラに収め続けた。$	나는 그렇다 $1의 망측한 모습을 휴대 전화에 거두어 갔다.
$^撮った画像を確認しつつ、(.+?)にそう指示を出す。$	찍은 화상을 확인하면서 $1에 그렇게 지시를 낸다.
$^自分のしたことが悪いことだと思っているのか、(.+?)は何も言えなくなる。$	자신의 일이 나쁜 일이라고 생각하나 $1은 무엇도 하지 않았다.
$^暫く視線を彷徨わせていた(.+?)は、やがて覚悟を決めたのか、おずおずと脚を開いてオナニーを始めた。$	잠시 시선을 헤매고 있었다 $1는 드디어 각오를 결정했는지, 머뭇거리면서 다리를 쩍 벌리고 자위를 시작했다.
$^(.+?)は戸惑いつつ、股間に指を這わせていく。$	$1은 당황하고, 사타구니에 손가락을 올려서 간다.
$^撮られていることで羞恥を刺激され、徐々に興奮してきたのか、(.+?)の口元から甘い吐息が漏れ出す。$	찍히는 것으로 수치심을 자극되면서 서서히 흥분 했는지 $1의 입가에서 달콤한 한숨이 새어 나와.
$^気持ち良さそうだね、(.+?)？$	기분 좋은 것 같아 $1?!!
$^もちろん、(.+?)がイクまでだよ？$	물론, $1가 갈때까지야?
$^(.+?)の羞恥と興奮を煽りつつ、絶頂へと向かう為のオナニーを促す。$	$1의 수치와 흥분을 부추기며 절정으로 향하기 위한 자위를 촉구한다.
$^その言葉に(.+?)は一瞬だけ迷いを見せたものの、このままでは終わらないと分かっているのか、指先は素直に膣口を目指していった。$	그 말에 $1은 한순간만 방황을 보였지만, 이대로는 끝나지 않다고 알고 있는지, 손가락 끝은 솔직하게 질 입구를 목표로 갔다.
$^そんなに濡れてたんだね、(.+?)。$	이렇게 젖고 있었네, $1.
$^羞恥に震えながらも、(.+?)は本格的に指を動かしていく。$	수치에 떨면서도 $1은 본격적으로 손가락을 움직인다.
$^快感を追い求めるように指を出し入れさせ、徐々に喘ぎも大きくなり、(.+?)は乱れていく。$	쾌감을 추구하게 손가락을 출납시키고 서서히 신음도 커지고 $1이 흐트러진다.
$^(.+?)、どんなふうにオナニーしてるのか、実況してくれる？$	$1 어떻게 자위하는 건지 실황 해서 줄래?!!
$^携帯のシャッターを切りながら、(.+?)に新たな指示を出す。$	휴대의 셔터를 누르면서 $1에 새로운 지시를 낸다.
$^(.+?)は潤んだ瞳で俺を見詰めて頷くと、快感に染まった声で実況し始めた。$	$1는 흐린 눈으로 나를 바라보고 고개를 끄덕이자 체험 쾌감에 물든 목소리로 실황하기 시작했다.
$^淫らな言葉を並べ、興奮を昂ぶらせていく(.+?)。$	음란한 말을 늘어놓고 흥분을 고조되다 만드는 $1.
$^いいよ、(.+?)。そのままイクところを、ちゃんと見せて。$	좋아, $1. 그대로 이쿠 곳을 잘 보이고.
$^俺の言葉に無言で頷き、(.+?)は夢中になって指を動かす。$	나의 말에 조용히 고개를 끄덕여 $1는 푹 뻐져서 손가락을 움직인다.
$^(.+?)のオナニーを間近で見て、俺の興奮もかなり高まっていた。$	$1의 자위를 직접 보고, 나의 흥분도 상당히 높아졌다.
$^(.+?)がエッチに奉仕しているところを、しっかりと撮ってあげるよ。$	$1가 부식에 봉사하다가 제대로 찍어 줄게.
$^当然だよ。(.+?)の恥ずかしい所を、余すことなく収めるからね？$	마련이야. $1의 부끄러운 곳을 남김없이 거두니?!!
$^(.+?)はそう言いつつ、俺のペニスへと奉仕を始める。$	$1은 그렇게 말하면서 나의 페니스로 봉사를 시작한다.
$^そんな(.+?)の表情を見下ろしつつ、携帯に撮っていく。$	그런 $1의 표정을 내려다보면서 핸드폰으로 찍어 간다.
$^撮られていることを恥らいながらも、(.+?)は丁寧に奉仕してくれる。$	찍고 있음을 치라이면서도 $1는 정중하게 봉사한다.
$^(.+?)、こっちを見て。$	$1, 여길봐
$^(.+?)に目線を要求し、こちらを見上げた瞬間にシャッターを切る。$	$1에 눈높이를 요구하고 이쪽을 올려다본 순간에 셔터를 누르다.
$^俺の言葉を聞いて、(.+?)は見上げるのを止めて、本格的にペニスを咥えこむ。$	나의 말을 듣고, $1은 쳐다보는 것을 막고 본격적으로 페니스를 물었다.
$^ぅ……いいよ、(.+?)……気持ち良いよ……直ぐに出ちゃいそうだ……$	우…… 좋아 $1……기분 좋아……당장 나갈 지경이다……!!
$^(.+?)はそれを聞いて更に奉仕に熱を入れ、激しくペニスを舐めしゃぶる。$	$1은 그것을 듣고 더욱 봉사에 열을 넣고 치열한 페니스를 핥고 빤다.
$^くっ……そろそろ出すよ、(.+?)……！　ちゃんと俺の方を見ながらしゃぶって……！$	이야……이제 내어 $1...잘 나 쪽을 보면서 빨고……!
$^(.+?)の顔に、ドロドロのザーメンを掛けてあげるからね……！$	$1의 얼굴에 도로 도로의 정액을 걸어 줄께....!
$^限界まで高まった俺は、そのまま(.+?)の顔へと射精した。$	한계까지 높아졌다 나는 그대로 $1의 얼굴로 사정했다.
$^(.+?)は目を閉じながら、しっかりとそれを受け止める。$	$1는 눈을 덮으며 제대로 그것을 받아들인다.
$^よく撮れてるよ。あとで(.+?)にも送ってあげるからね。$	잘 찍고 있어. 나중에 $1에도 보내고 줄게!!
$^そしてその携帯に向かって、(.+?)の体を抱え上げた。$	그리고 그 핸드폰으로 향하고 $1의 몸을 안아 올렸다.
$^何をどう撮られるのか理解して、(.+?)は動揺しながら許しを請う。$	무엇을 어떻게 찍는 것인지 이해하고 $1은 동요하면서 용서를 구한다.
$^俺はそっと(.+?)に耳打ちした。$	나는 살그머니 $1에 귀띔했다.
$^ちゃんと言えたら許してあげる。(.+?)は悪い子なんだから、反省したっていう証拠を見せてくれなくちゃね？$	제대로 하면 사하여 주다. $1은 나쁜 애니까 반성했다는 증거를 보이고 주지 않으면?!!
$^困惑していた(.+?)は、その言葉で観念する。$	혼란스러웠다 $1는 그 말에 체념하다.
$^俺は(.+?)が言い終えると同時に、下からペニスを挿入した。$	나는 $1가 말하는 마감과 동시에 아래에서 페니스를 삽입했다.
$^言う通りにすれば、挿入されている姿を撮られないと思っていた(.+?)は、恨めしそうな声を上げる。$	하라는 대로만 하면 삽입되는 모습을 찍히지 않는다고 생각했다 $1는 원망스러운 목소리를 높인다.
$^俺はそんな(.+?)を激しく責め立てていった。$	나는 그렇다 $1를 심하게 몰아세우고 갔다.
$^(.+?)は喘ぎ混じりに、そう訴えてくる。$	$1은 신음성에 그렇게 호소한다.
$^羞恥と快感が入り混じる中で、(.+?)は恍惚とした表情を浮かべる。$	수치와 쾌감이 뒤섞이에서 $1은 황홀한 표정을 짓다.
$^煽り続けながらせめていくと、(.+?)は弱々しく首を振って嫌がる。$	부추기며 적어도 가면 $1가 힘없이 고개를 흔들며 싫어한다.
$^俺はもう一度、(.+?)の耳元で囁きかけた。$	나는 다시 한번 $1의 귓가에 속삭이다 걸었다.
$^(.+?)はそれを聞いた瞬間、言葉に詰まって表情を強張らせる。$	$1은 그것을 듣는 순간 말이 막힌 표정을 굳게 한다.
$^激しく腰を突き上げながら、(.+?)を煽ってスパートを掛ける。$	은 허리를 날리며 $1을 부추기고 스퍼트를 걸다.
$^(.+?)は戸惑っているのは言葉は出て来ないが、その喘ぎは大きくなり、膣内もうねるように俺のペニスを締め付けてくる。$	$1은 당황하는 것은 말은 나오지 않지만, 그 신음은 커지고 질 내도 감돌게 나의 페니스를 조인다.
$^(.+?)のオマンコが気持ち良過ぎて、もう出そうだよ……！　このまま俺のチンポでイかされるところを、世界中の人に見て貰おうね……！$	$1의 보지가 기분 좋은 지나 다시 나올 거래...이대로 내 고추로 갈 곳을 세계인에게 진찰을 받다……!
$^そこで、射精が近いことをそう告げると、(.+?)はようやく観念したのか、喘ぎ混じりに俺の耳打ちした台詞を口にする。$	거기에서 사정이 가까운 것을 그렇게 말하자 $1은 겨우 체념했는지 신음 섞인 나의 귀띔한 대사를 말한다.
$^俺が更に促すと、(.+?)は躊躇いがちに台詞を続ける。$	내가 더욱 촉진하면 $1는 머뭇머뭇하면서 대사를 계속.
$^(.+?)が最後まで言い切るのと同時に、俺も限界へと達する。$	$1이 끝까지 단정하는 것과 동시에 나도 한계로 이른다.
$^くっ……出すよ、(.+?)……！$	이야…… 내어 $1……!
$^一番深いところで射精すると、(.+?)の膣内はそのペニスを締め付け、そして射精を受け止めながら絶頂へと昇り詰めていった。$	가장 깊은 곳에서 사정하면 $1의 질 내는 그 페니스를 조이고 그리고 사정을 보면서 절정으로 정점에 도달하고 갔다.
$^(.+?)の体がビクビクと何度も震える。$	$1의 몸이 아가미 자꾸 떨리다.
$^(.+?)……お仕置きして貰ったら、何か言うことあるよね？$	$1……잡도리하고 받으니까, 뭔가 말 있어?!!
$^(.+?)はそう言うと、完全に脱力してしまう。$	$1은 그렇게 말하면 완전히 탈진한다.
$^俺はそんな(.+?)に満足し、深く繋がったままで、優しく撫でてやるのだった。$	나는 그렇다 $1에 만족하고 깊은 연결된 채 부드럽게 쓰다듬어 주는 거였다.
$^落ち着いた途端に、(.+?)は顔を赤くしてそう訴えてくる。$	차분한 순간에 $1는 얼굴을 붉히며 그렇게 호소한다.
$^でもなぁ……そうだ、そもそも(.+?)はどうして、隠し撮りみたいなことをしたわけ？$	에서도.... 맞다, 원래 $1은 왜 몰래 카메라 같은 짓을 한 거야?!!
$^俺の問い掛けに、(.+?)は消え入りそうな声でそう呟く。$	나의 질문에 $1은 기어드는 목소리로 그렇게 중얼거린다
$^顔を赤くさせた(.+?)は、そう言ったきり俯いてしまった。$	얼굴을 붉히게 한 $1는 그렇게 말한 뒤 고개를 수그리고 말았다.
$^俺のその呟きが気に障ったのか、(.+?)は不満気に唇を尖らせる。$	나의 그 중얼거림가 속상했는지 $1은 불만스러운 표정으로 입술을 삐죽 내밀다.
$^どうやら(.+?)にとって、動機としては十分なものなのだろう。$	아무래도 $1에게 동기로는 충분한 것이다.
$^でもまあ、(.+?)は俺にとっても特別な存在だし、ずっと傍に居て欲しいって思うし……俺も嬉しいよ、\1。$	그래도 뭐, $1은 나에게도 특별한 존재이고 계속 곁에 있길 바래고……나도 기쁘지,\1.
$^少し機嫌が直ったのか、(.+?)は嬉しそうに微笑む。$	조금 기분이 났던지 $1은 흐뭇하게 웃는다.
$^怒る(.+?)に、俺は思わず笑ってしまっていた。$	화 $1에 나는 무심코 웃어 버렸다.
$^えっと……これが(.+?)の『大切な人』なんだ？$	그러니까 이거 $1『 소중한 사람 』 거야?!!
$^えっと……これが(.+?)の『たからもの』なんだ？$	그러니까 이거 $1『 보물 』 거야?!!
$^(.+?)はぎこちないながらも、笑顔でポーズを取り続けていた。$	$1은 어색하면서도 웃으며 포즈를 취하고 있었다.
$^俺はそんな(.+?)、言葉で煽りながら責め続ける。$	나는 그렇다 $1말로 부추기면서 책망했다.
$^えっと……これが(.+?)の『ご主人様』なんだ？$	그러니까 이거 $1『 주인 』 거야?!!
$^一息入れて肩の疲れをほぐしていると、(.+?)が声を掛けてくる。$	한숨을 돌리고 어깨의 피로를 풀고 있다고 $1가 말을 걸어 온다.
