主人公の名前を決めて下さい。	주인공의 이름을 결정해 주세요.
…………あぁあっ……言って……言っちゃった……ううううっ……	………… 아아앗…… 말해…… 말해 버린…… 우우우웃……
もっと……言葉を考えてきたのに、たくさんの言葉で……気持ちを、伝えたかったのに……	좀 더…… 말을 생각해 왔는데, 많은 말로…… 기분을, 전하고 싶었는데……
えっ……！？　あ……！　えっ……！？	어……!? 아……! 엣……!?
からかっているの……？　私、なのよ？　……こんな面倒な女……	조롱하고 있는 거야……? 나, 야? …… 이런 귀찮은 여자……
本当なの？　本当に、その……ご、ご主人様は、私を恋人に選んでくれるの……？	사실이야? 정말로, 그…… 주, 주인님은, 나를 연인으로 선택해 줄래……?
俺は頷く。	나는 수긍한다.
私で、いいの……？	나로, 좋은거야……?
……っ……！　本当、なんだ……私、ご、ご主人様と、恋人に……恋人になれたのね……	…………! 사실, 무엇이다…… 나, 주, 주인님과 연인에게…… 연인이 될 수 있었군요……
ぐすっ……んっ……嬉しい……	…… 읏…… 기쁘다……
……そうね、ご主人様の前だと、私……想いが溢れてくるの。	…… 그렇구나, 주인님의 앞이라고, 나…… 생각이 흘러넘쳐 와.
頬が緩んで、幸せな気持ちになって……ぐすっ……んっ……んんんっ……本当の、本当に……大好きよ、ご主人様。	뺨이 느슨해져, 행복한 기분이 되어…… 흐흑…… 읏…… 응응읏…… 진정한, 정말로…… 정말 좋아해요, 주인님.
私達は、ご主人様とメイド……そういう関係よね？	우리들은, 주인님과 메이드…… 그러한 관계군요?
え？　どうしたの、急に？	네? 무슨 일이야, 갑자기?
いいから答えて。	좋으니까 대답해.
まあ……そうだね。	뭐…… 그렇다.
そうよね……それにしては、ご主人様の……その、夜伽なのだけれど……	그래요…… 그런 것 치고는, 주인님의…… 그, 밤시중이다지만……
夜伽がどうしたの？	밤시중이 무슨 일이야?
随分と優しいものだと思うの……	상당히 상냥한 것이라고 생각해……
ええ、そう思うわ。	예, 그렇게 생각해요.
そうかな……？	그런건가……?
私はそう感じているの。でも別に、決して、誤解はしないで欲しいのだけれども……もっと私のことを、モノのように扱っても構わないのよ？	나는 그렇게 느끼고 있어. 그렇지만 별로, 결코, 오해는 하지 않으면 좋은 것 만여도…… 좀 더 나의 일을, 물건과 같이 취급해도 상관없는거야?
モノみたいにって……	물건같이는……
……そういう感じでという、比喩よ、理解して。	……그러한 느낌으로 라는, 비유야, 이해해줘.
私、不安になるの……他のメイドのように愛想が良いわけではないし、表情が豊かな訳でも無い……それは分かっているわ。	나, 불안하게 되는 것…… 다른 메이드와 같이 붙임성이 좋을 것은 아니고, 표정이 풍부한 (뜻)이유도 아닌…… 그것은 알고 있어요.
今はご主人様と、恋人でいられるけれど……それがこれから先も続いていくのかどうか……考え始めると、キリがないくらいよ……	지금은 주인님과 연인으로 있을 수 있지만…… 그것이 지금부터 앞도 계속되어 가는지 어떤지…… 생각하기 시작하면, 끝이 없을 정도……
だからもう少し、私は……ご主人様と、深い関係になりたいと思っているわ……	그러니까 좀 더, 나는…… 주인님과 깊은 관계가 되고 싶다고 생각하고 있어요……
……ありがとう、ご主人様。	…… 고마워요, 주인님.
かなり酷いことをすると思うけど、それでもいいんだよね？	꽤 심한 일을 한다고 생각하지만, 그런데도 좋네요?
もちろん、構わないわ……その、そういうセックスをするのも……別に、嫌いではないから……	물론, 상관없어요…… 그, 그러한 섹스를 하는 것도…… 별로, 싫지 않으니까……
嫌いじゃないだけ？	싫지 않은 것뿐?
……どういう意味？	…… 어떤 의미?
無理して合わせる必要は無いんだよっていうこと。	무리해 맞출 필요는 없어라고 말하는 일.
別に、無理をしている訳ではないのだけれど……	별로, 무리를 하고 있는 것은 아닌 것이지만……
なんだか微妙な表情をするのね、ご主人様……	왠지 미묘한 표정을 하군요, 주인님……
もっと深い関係になりたいなら、全てを曝け出してくれないとね。	좀 더 깊은 관계가 되고 싶으면, 모두를 드러내 주지 않으면.
……ご主人様は、意地悪よね……本当に。	…… 주인님은, 심술쟁이군요…… 정말로.
それで、どうなの？	그래서, 어때?
好き……よ、そういう……モノ扱いされるような、セックス……	좋아…… 야, 그러한…… 물건 취급해 되는 것 같은, 섹스……
正直に言えたご褒美、ちゃんとあげないとね。	정직하게 말할 수 있던 포상, 분명하게 주지 않으면.
狡いと思うわ、ご主人様……そんなふうに言われたら、期待してしまうでしょう？	교활하다고 생각해요, 주인님…… 그런 식으로 말해지면, 기대해 버릴까요?
メイドの期待に応えるのも、ご主人様だよ。	메이드의 기대에 응하는 것도, 주인님이야.
……ふふ、私の全て、ご主人様に預けるわ……だから、可愛がってね、ご主人様。	…… 후후, 나의 모두, 주인님에 맡겨요…… 이니까, 귀여워해, 주인님.
正直な気持ちを全て伝える。	솔직한 기분을 모두 전한다.
あ、あの……ご主人様……	저, 저기…… 주인님……
いえ、あの……ひとつ、聞いてもいいですか……？	아뇨, 저…… 하나, 물어봐도 괜찮아요……?
うん、いいけど？	응, 괜찮은데?
あの……どうして、わたしのこと……お傍に置いてくれるんですか……？	그…… 왜, 저를…… 곁에 두시는 거에요……?
どうしたの、急に？	왜 그래, 갑자기?
い、いえ……少し、聞いてみたくて……ごめんなさい……	아, 아뇨…… 조금, 물어 보고 싶어서…… 죄송해요……
いや、別に構わないけど……	아냐, 별로 상관없는데……
わたしより……もっと活発で、可憐で……気品のあるメイドさんとか、いっぱいいますよね……？　それなのに、どうして……一番地味な、わたしを……	저보다…… 좀 더 활발하고, 가련하고…… 기품 있는 메이드라든지, 많이 있잖아요……? 그런데도, 왜……가장 평범한, 저를……
どうしてなのか、知りたくて……	왜 그런 건지, 알고 싶어서……
そういうところだよ。	그런 부분이야.
え……？　それって、どういう……	에……? 그건, 어떤……
豪華な花ばっかりじゃ、見飽きちゃうからね。	호화로운 꽃만 있으면, 금방 싫증 나니까.
さりげなく咲いてる花が綺麗なことだって、普通にあることだろ？	자연스럽게 피어있는 꽃이 예쁜 일도, 평범하게 있잖아?
それが……わたし……？	그게…… 저……?
そういうことだね。	그렇게 되네.
そうなんですか……！　わたし、うれしいです……！	그런가요……! 저, 기뻐요……!
い、いえ……わたし、すっごく嬉しいですよ？	아, 아뇨…… 저, 너무 기쁘다구요?
はい！　だって、その……うふふ……	네! 그치만, 그…… 후후……
地味だけど、綺麗だって……そういうことなんですよね……？	평범하지만, 예쁘다고…… 그런 거네요……?
ああ、そういうことか……うん、そうだね。	아아, 그런 건가…… 응, 그렇네.
だから、嬉しいんです……	그래서, 기뻐요……
